,"Filtered Water Flow Rate, GPM","Filtered Water Flow Rate, m3/hr"
6/26/2024 7:30,40,9.08498828
6/26/2024 7:45,40,9.08498828
6/26/2024 8:00,46.66666667,10.59915299
6/26/2024 8:15,40,9.08498828
6/26/2024 8:30,40.01758486,9.088982237
6/26/2024 8:45,40.02693378,9.091105607
6/26/2024 9:00,46.66666667,10.59915299
6/26/2024 9:15,40,9.08498828
6/26/2024 9:30,40,9.08498828
6/26/2024 9:45,40,9.08498828
6/26/2024 10:00,40,9.08498828
6/26/2024 10:15,45.96666667,10.4401657
6/26/2024 10:30,40.7,9.243975575
6/26/2024 10:45,40,9.08498828
6/26/2024 11:00,60,13.62748242
6/26/2024 11:15,41.19333333,9.356023764
6/26/2024 11:30,41.47333333,9.419618682
6/26/2024 11:45,41.19333333,9.356023764
6/26/2024 12:00,41.47333333,9.419618682
6/26/2024 12:15,41.19333333,9.356023764
6/26/2024 12:30,41.47333333,9.419618682
6/26/2024 12:45,41.19333333,9.356023764
6/26/2024 13:00,41.47333333,9.419618682
6/26/2024 13:15,41.19333333,9.356023764
6/26/2024 13:30,36.94666667,8.391500841
6/26/2024 13:45,40.38666667,9.172809833
6/26/2024 14:00,42.04674457,9.549854542
6/26/2024 14:15,42,9.539237694
6/26/2024 14:30,40.66666667,9.236404751
6/26/2024 14:45,42,9.539237694
6/26/2024 15:00,42,9.539237694
6/26/2024 15:15,42,9.539237694
6/26/2024 15:30,42,9.539237694
6/26/2024 15:45,40.80444444,9.267697489
6/26/2024 16:00,41.86222222,9.507944957
6/26/2024 16:15,42,9.539237694
6/26/2024 16:30,42,9.539237694
6/26/2024 16:45,42,9.539237694
6/26/2024 17:00,41.47111111,9.41911396
6/26/2024 17:15,41.19555556,9.356528485
6/26/2024 17:30,42,9.539237694
6/26/2024 17:45,42,9.539237694
6/26/2024 18:00,40.66666667,9.236404751
6/26/2024 18:15,42,9.539237694
6/26/2024 18:30,42,9.539237694
6/26/2024 18:45,42,9.539237694
6/26/2024 19:00,42.04674457,9.549854542
6/26/2024 19:15,42,9.539237694
6/26/2024 19:30,41.98144204,9.535022723
6/26/2024 19:45,42.01396115,9.542408616
6/26/2024 20:00,41.97678327,9.533964601
6/26/2024 20:15,40.83034687,9.273580571
6/26/2024 20:30,41.86444444,9.508449678
6/26/2024 20:45,42,9.539237694
6/26/2024 21:00,42,9.539237694
6/26/2024 21:15,42,9.539237694
6/26/2024 21:30,42,9.539237694
6/26/2024 21:45,42,9.539237694
6/26/2024 22:00,42,9.539237694
6/26/2024 22:15,42,9.539237694
6/26/2024 22:30,42,9.539237694
6/26/2024 22:45,42,9.539237694
6/26/2024 23:00,40.66666667,9.236404751
6/26/2024 23:15,42,9.539237694
6/26/2024 23:30,42,9.539237694
6/26/2024 23:45,42,9.539237694
6/27/2024 0:00,42.01869783,9.543484433
6/27/2024 0:15,41.98611663,9.536084437
6/27/2024 0:30,42.04208567,9.54879639
6/27/2024 0:45,42,9.539237694
6/27/2024 1:00,40.66666667,9.236404751
6/27/2024 1:15,42,9.539237694
6/27/2024 1:30,42,9.539237694
6/27/2024 1:45,42,9.539237694
6/27/2024 2:00,42,9.539237694
6/27/2024 2:15,40.8,9.266688046
6/27/2024 2:30,41.86666667,9.5089544
6/27/2024 2:45,42,9.539237694
6/27/2024 3:00,42,9.539237694
6/27/2024 3:15,42,9.539237694
6/27/2024 3:30,40.66666667,9.236404751
6/27/2024 3:45,42,9.539237694
6/27/2024 4:00,42,9.539237694
6/27/2024 4:15,42,9.539237694
6/27/2024 4:30,42,9.539237694
6/27/2024 4:45,40.8,9.266688046
6/27/2024 5:00,41.86666667,9.5089544
6/27/2024 5:15,42,9.539237694
6/27/2024 5:30,42.04674457,9.549854542
6/27/2024 5:45,40.79777778,9.266183324
6/27/2024 6:00,41.86888889,9.509459121
6/27/2024 6:15,42,9.539237694
6/27/2024 6:30,42,9.539237694
6/27/2024 6:45,42,9.539237694
6/27/2024 7:00,40.66666667,9.236404751
6/27/2024 7:15,42,9.539237694
6/27/2024 7:30,41.46444444,9.417599795
6/27/2024 7:45,41.20222222,9.35804265
6/27/2024 8:00,42,9.539237694
6/27/2024 8:15,42,9.539237694
6/27/2024 8:30,40.66666667,9.236404751
6/27/2024 8:45,42,9.539237694
6/27/2024 9:00,41.46444444,9.417599795
6/27/2024 9:15,41.20222222,9.35804265
6/27/2024 9:30,42,9.539237694
6/27/2024 9:45,42,9.539237694
6/27/2024 10:00,51.37777778,11.66916272
6/27/2024 10:15,32.70888889,7.428996805
6/27/2024 10:30,0,0
6/27/2024 10:45,0,0
6/27/2024 11:00,0,0
6/27/2024 11:15,0,0
6/27/2024 11:30,0,0
6/27/2024 11:45,0,0
6/27/2024 12:00,0,0
6/27/2024 12:15,0,0
6/27/2024 12:30,0,0
6/27/2024 12:45,0,0
6/27/2024 13:00,2.688888889,0.610713101
6/27/2024 13:15,29.27111111,6.648192535
6/27/2024 13:30,42,9.539237694
6/27/2024 13:45,42,9.539237694
6/27/2024 14:00,42,9.539237694
6/27/2024 14:15,42,9.539237694
6/27/2024 14:30,40.66666667,9.236404751
6/27/2024 14:45,42,9.539237694
6/27/2024 15:00,42,9.539237694
6/27/2024 15:15,42,9.539237694
6/27/2024 15:30,41.46222222,9.417095074
6/27/2024 15:45,41.24897051,9.36866034
6/27/2024 16:00,42.00444073,9.540246295
6/27/2024 16:15,42,9.539237694
6/27/2024 16:30,42,9.539237694
6/27/2024 16:45,40.79333333,9.265173881
6/27/2024 17:00,41.87333333,9.510468564
6/27/2024 17:15,42,9.539237694
6/27/2024 17:30,42,9.539237694
6/27/2024 17:45,42,9.539237694
6/27/2024 18:00,40.66666667,9.236404751
6/27/2024 18:15,42,9.539237694
6/27/2024 18:30,42,9.539237694
6/27/2024 18:45,42,9.539237694
6/27/2024 19:00,41.46,9.416590352
6/27/2024 19:15,41.20666667,9.359052093
6/27/2024 19:30,42,9.539237694
6/27/2024 19:45,42,9.539237694
6/27/2024 20:00,40.66666667,9.236404751
6/27/2024 20:15,42,9.539237694
6/27/2024 20:30,42,9.539237694
6/27/2024 20:45,40.79333333,9.265173881
6/27/2024 21:00,41.89234279,9.514786083
6/27/2024 21:15,41.9854944,9.535943115
6/27/2024 21:30,42.04239627,9.548866933
6/27/2024 21:45,42,9.539237694
6/27/2024 22:00,42,9.539237694
6/27/2024 22:15,40.79111111,9.264669159
6/27/2024 22:30,41.87555556,9.510973286
6/27/2024 22:45,42,9.539237694
6/27/2024 23:00,42,9.539237694
6/27/2024 23:15,42,9.539237694
6/27/2024 23:30,40.66666667,9.236404751
6/27/2024 23:45,42,9.539237694
6/28/2024 0:00,42,9.539237694
6/28/2024 0:15,42,9.539237694
6/28/2024 0:30,42,9.539237694
6/28/2024 0:45,42,9.539237694
6/28/2024 1:00,42,9.539237694
6/28/2024 1:15,42,9.539237694
6/28/2024 1:30,40.66666667,9.236404751
6/28/2024 1:45,42,9.539237694
6/28/2024 2:00,42.01908737,9.543572907
6/28/2024 2:15,42.02765721,9.545519329
6/28/2024 2:30,42,9.539237694
6/28/2024 2:45,42,9.539237694
6/28/2024 3:00,40.66666667,9.236404751
6/28/2024 3:15,42,9.539237694
6/28/2024 3:30,42,9.539237694
6/28/2024 3:45,42,9.539237694
6/28/2024 4:00,40.66666667,9.236404751
6/28/2024 4:15,42,9.539237694
6/28/2024 4:30,42,9.539237694
6/28/2024 4:45,42,9.539237694
6/28/2024 5:00,40.66666667,9.236404751
6/28/2024 5:15,42,9.539237694
6/28/2024 5:30,42,9.539237694
6/28/2024 5:45,42,9.539237694
6/28/2024 6:00,42,9.539237694
6/28/2024 6:15,40.78888889,9.264164438
6/28/2024 6:30,41.87777778,9.511478008
6/28/2024 6:45,42,9.539237694
6/28/2024 7:00,42,9.539237694
6/28/2024 7:15,42.04253756,9.548899025
6/28/2024 7:30,40.67087368,9.237360268
6/28/2024 7:45,42,9.539237694
6/28/2024 8:00,42,9.539237694
6/28/2024 8:15,42,9.539237694
6/28/2024 8:30,42,9.539237694
6/28/2024 8:45,40.78666667,9.263659716
6/28/2024 9:00,41.88,9.511982729
6/28/2024 9:15,42,9.539237694
6/28/2024 9:30,41.45333333,9.415076188
6/28/2024 9:45,41.21333333,9.360566258
6/28/2024 10:00,42,9.539237694
6/28/2024 10:15,42,9.539237694
6/28/2024 10:30,40.66666667,9.236404751
6/28/2024 10:45,42,9.539237694
6/28/2024 11:00,41.45333333,9.415076188
6/28/2024 11:15,41.21333333,9.360566258
6/28/2024 11:30,42,9.539237694
6/28/2024 11:45,42,9.539237694
6/28/2024 12:00,40.66666667,9.236404751
6/28/2024 12:15,42,9.539237694
6/28/2024 12:30,40.71118531,9.246516035
6/28/2024 12:45,42,9.539237694
6/28/2024 13:00,40.66666667,9.236404751
6/28/2024 13:15,42,9.539237694
6/28/2024 13:30,40.64153936,9.230697718
6/28/2024 13:45,42.02750139,9.545483939
6/28/2024 14:00,40.66666667,9.236404751
6/28/2024 14:15,42,9.539237694
6/28/2024 14:30,40.66666667,9.236404751
6/28/2024 14:45,42,9.539237694
6/28/2024 15:00,40.66666667,9.236404751
6/28/2024 15:15,42,9.539237694
6/28/2024 15:30,40.64153936,9.230697718
6/28/2024 15:45,42.02750139,9.545483939
6/28/2024 16:00,40.66666667,9.236404751
6/28/2024 16:15,40.78444444,9.263154995
6/28/2024 16:30,41.88222222,9.512487451
6/28/2024 16:45,42,9.539237694
6/28/2024 17:00,40.66666667,9.236404751
6/28/2024 17:15,42,9.539237694
6/28/2024 17:30,40.66666667,9.236404751
6/28/2024 17:45,42.04269338,9.548934415
6/28/2024 18:00,40.67071786,9.237324878
6/28/2024 18:15,42,9.539237694
6/28/2024 18:30,41.44888889,9.414066744
6/28/2024 18:45,41.21777778,9.361575701
6/28/2024 19:00,42,9.539237694
6/28/2024 19:15,40.78222222,9.262650273
6/28/2024 19:30,41.88444444,9.512992172
6/28/2024 19:45,42,9.539237694
6/28/2024 20:00,40.66666667,9.236404751
6/28/2024 20:15,42,9.539237694
6/28/2024 20:30,40.66666667,9.236404751
6/28/2024 20:45,42,9.539237694
6/28/2024 21:00,41.44888889,9.414066744
6/28/2024 21:15,41.21777778,9.361575701
6/28/2024 21:30,42,9.539237694
6/28/2024 21:45,40.78222222,9.262650273
6/28/2024 22:00,41.88444444,9.512992172
6/28/2024 22:15,40.78222222,9.262650273
6/28/2024 22:30,41.88444444,9.512992172
6/28/2024 22:45,40.78222222,9.262650273
6/28/2024 23:00,41.93341124,9.524113742
6/28/2024 23:15,42,9.539237694
6/28/2024 23:30,41.44666667,9.413562023
6/28/2024 23:45,41.22,9.362080423
6/29/2024 0:00,41.44666667,9.413562023
6/29/2024 0:15,41.22,9.362080423
6/29/2024 0:30,42,9.539237694
6/29/2024 0:45,40.78,9.262145551
6/29/2024 1:00,41.88666667,9.513496894
6/29/2024 1:15,40.78,9.262145551
6/29/2024 1:30,41.88666667,9.513496894
6/29/2024 1:45,42,9.539237694
6/29/2024 2:00,40.66666667,9.236404751
6/29/2024 2:15,42,9.539237694
6/29/2024 2:30,40.66666667,9.236404751
6/29/2024 2:45,42,9.539237694
6/29/2024 3:00,40.66666667,9.236404751
6/29/2024 3:15,42,9.539237694
6/29/2024 3:30,41.44666667,9.413562023
6/29/2024 3:45,41.22,9.362080423
6/29/2024 4:00,42.04674457,9.549854542
6/29/2024 4:15,40.73710483,9.252402997
6/29/2024 4:30,41.93193592,9.52377866
6/29/2024 4:45,40.77777778,9.26164083
6/29/2024 5:00,41.88888889,9.514001615
6/29/2024 5:15,40.77777778,9.26164083
6/29/2024 5:30,41.88888889,9.514001615
6/29/2024 5:45,40.77777778,9.26164083
6/29/2024 6:00,41.88888889,9.514001615
6/29/2024 6:15,40.77777778,9.26164083
6/29/2024 6:30,41.88888889,9.514001615
6/29/2024 6:45,40.77777778,9.26164083
6/29/2024 7:00,41.88888889,9.514001615
6/29/2024 7:15,40.77777778,9.26164083
6/29/2024 7:30,41.88888889,9.514001615
6/29/2024 7:45,40.77777778,9.26164083
6/29/2024 8:00,41.88888889,9.514001615
6/29/2024 8:15,42,9.539237694
6/29/2024 8:30,40.66666667,9.236404751
6/29/2024 8:45,42,9.539237694
6/29/2024 9:00,40.66666667,9.236404751
6/29/2024 9:15,42,9.539237694
6/29/2024 9:30,40.71118531,9.246516035
6/29/2024 9:45,42,9.539237694
6/29/2024 10:00,40.66666667,9.236404751
6/29/2024 10:15,40.77555556,9.261136108
6/29/2024 10:30,41.89111111,9.514506337
6/29/2024 10:45,40.77555556,9.261136108
6/29/2024 11:00,41.89111111,9.514506337
6/29/2024 11:15,40.77555556,9.261136108
6/29/2024 11:30,41.33333333,9.387821223
6/29/2024 11:45,41.22444444,9.363089866
6/29/2024 12:00,41.44222222,9.41255258
6/29/2024 12:15,41.22444444,9.363089866
6/29/2024 12:30,40.66666667,9.236404751
6/29/2024 12:45,42,9.539237694
6/29/2024 13:00,40.66666667,9.236404751
6/29/2024 13:15,40.77555556,9.261136108
6/29/2024 13:30,41.89111111,9.514506337
6/29/2024 13:45,40.77555556,9.261136108
6/29/2024 14:00,41.33333333,9.387821223
6/29/2024 14:15,41.22444444,9.363089866
6/29/2024 14:30,40.68852161,9.241368549
6/29/2024 14:45,42.02711185,9.545395466
6/29/2024 15:00,40.66666667,9.236404751
6/29/2024 15:15,40.77333333,9.260631387
6/29/2024 15:30,41.89333333,9.515011059
6/29/2024 15:45,40.77333333,9.260631387
6/29/2024 16:00,41.89333333,9.515011059
6/29/2024 16:15,40.77333333,9.260631387
6/29/2024 16:30,41.89333333,9.515011059
6/29/2024 16:45,40.77333333,9.260631387
6/29/2024 17:00,41.33333333,9.387821223
6/29/2024 17:15,41.22666667,9.363594587
6/29/2024 17:30,41.44,9.412047858
6/29/2024 17:45,41.22666667,9.363594587
6/29/2024 18:00,40.66666667,9.236404751
6/29/2024 18:15,42,9.539237694
6/29/2024 18:30,40.66666667,9.236404751
6/29/2024 18:45,42,9.539237694
6/29/2024 19:00,40.66666667,9.236404751
6/29/2024 19:15,40.77333333,9.260631387
6/29/2024 19:30,41.89333333,9.515011059
6/29/2024 19:45,40.81214246,9.269445898
6/29/2024 20:00,41.33682063,9.388613273
6/29/2024 20:15,41.18594934,9.354346677
6/29/2024 20:30,40.6848724,9.240539722
6/29/2024 20:45,40.79814506,9.266266742
6/29/2024 21:00,41.30551634,9.381503297
6/29/2024 21:15,41.2546355,9.369947001
6/29/2024 21:30,41.43777778,9.411543137
6/29/2024 21:45,41.22888889,9.364099309
6/29/2024 22:00,40.66666667,9.236404751
6/29/2024 22:15,40.77111111,9.260126665
6/29/2024 22:30,41.33333333,9.387821223
6/29/2024 22:45,41.22888889,9.364099309
6/29/2024 23:00,40.66666667,9.236404751
6/29/2024 23:15,40.77111111,9.260126665
6/29/2024 23:30,41.33333333,9.387821223
6/29/2024 23:45,40,9.08498828
6/30/2024 0:00,41.89555556,9.51551578
6/30/2024 0:15,40.77111111,9.260126665
6/30/2024 0:30,40.56222222,9.212682837
6/30/2024 0:45,40.80999444,9.268958029
6/30/2024 1:00,41.30900364,9.382295347
6/30/2024 1:15,41.25678353,9.370434871
6/30/2024 1:30,40.66666667,9.236404751
6/30/2024 1:45,40.76888889,9.259621944
6/30/2024 2:00,41.33333333,9.387821223
6/30/2024 2:15,41.23111111,9.36460403
6/30/2024 2:30,40.66666667,9.236404751
6/30/2024 2:45,40.76888889,9.259621944
6/30/2024 3:00,41.33333333,9.387821223
6/30/2024 3:15,41.23111111,9.36460403
6/30/2024 3:30,40.66666667,9.236404751
6/30/2024 3:45,40.76888889,9.259621944
6/30/2024 4:00,41.33333333,9.387821223
6/30/2024 4:15,41.23111111,9.36460403
6/30/2024 4:30,40.66666667,9.236404751
6/30/2024 4:45,40.76888889,9.259621944
6/30/2024 5:00,40.56444444,9.213187559
6/30/2024 5:15,40.76888889,9.259621944
6/30/2024 5:30,41.33333333,9.387821223
6/30/2024 5:45,41.23111111,9.36460403
6/30/2024 6:00,40.12566118,9.113529039
6/30/2024 6:15,41.25105903,9.369134696
6/30/2024 6:30,40.67017251,9.237201015
6/30/2024 6:45,40.76666667,9.259117222
6/30/2024 7:00,41.33333333,9.387821223
6/30/2024 7:15,41.23333333,9.365108752
6/30/2024 7:30,40.1,9.107700751
6/30/2024 7:45,41.23333333,9.365108752
6/30/2024 8:00,40.66666667,9.236404751
6/30/2024 8:15,40.76666667,9.259117222
6/30/2024 8:30,41.33333333,9.387821223
6/30/2024 8:45,41.23333333,9.365108752
6/30/2024 9:00,40.66666667,9.236404751
6/30/2024 9:15,40.76666667,9.259117222
6/30/2024 9:30,41.33333333,9.387821223
6/30/2024 9:45,40,9.08498828
6/30/2024 10:00,41.33333333,9.387821223
6/30/2024 10:15,41.23333333,9.365108752
6/30/2024 10:30,40.66666667,9.236404751
6/30/2024 10:45,40.76666667,9.259117222
6/30/2024 11:00,41.33333333,9.387821223
6/30/2024 11:15,40,9.08498828
6/30/2024 11:30,41.38007791,9.39843807
6/30/2024 11:45,41.23555556,9.365613474
6/30/2024 12:00,40.0724019,9.101432541
6/30/2024 12:15,41.26107958,9.371410609
6/30/2024 12:30,40.66666667,9.236404751
6/30/2024 12:45,40.76444444,9.2586125
6/30/2024 13:00,41.31440192,9.383521432
6/30/2024 13:15,41.25343311,9.369673908
6/30/2024 13:30,40.10120571,9.107974598
6/30/2024 13:45,41.23555556,9.365613474
6/30/2024 14:00,40.66666667,9.236404751
6/30/2024 14:15,40.76444444,9.2586125
6/30/2024 14:30,41.33333333,9.387821223
6/30/2024 14:45,40,9.08498828
6/30/2024 15:00,41.33333333,9.387821223
6/30/2024 15:15,41.23555556,9.365613474
6/30/2024 15:30,40.66666667,9.236404751
6/30/2024 15:45,40.76444444,9.2586125
6/30/2024 16:00,41.33333333,9.387821223
6/30/2024 16:15,41.23555556,9.365613474
6/30/2024 16:30,40.1168466,9.111527029
6/30/2024 16:45,41.2632276,9.371898479
6/30/2024 17:00,40.64231843,9.230874666
6/30/2024 17:15,40.78894454,9.264177077
6/30/2024 17:30,41.33333333,9.387821223
6/30/2024 17:45,40,9.08498828
6/30/2024 18:00,41.33333333,9.387821223
6/30/2024 18:15,41.23777778,9.366118195
6/30/2024 18:30,40.66666667,9.236404751
6/30/2024 18:45,40.76222222,9.258107779
6/30/2024 19:00,41.33333333,9.387821223
6/30/2024 19:15,40,9.08498828
6/30/2024 19:30,41.33333333,9.387821223
6/30/2024 19:45,41.23777778,9.366118195
6/30/2024 20:00,40.66666667,9.236404751
6/30/2024 20:15,40.76222222,9.258107779
6/30/2024 20:30,40.57111111,9.214701724
6/30/2024 20:45,40.76222222,9.258107779
6/30/2024 21:00,41.33333333,9.387821223
6/30/2024 21:15,41.23777778,9.366118195
6/30/2024 21:30,40.66666667,9.236404751
6/30/2024 21:45,40.80140234,9.267006551
6/30/2024 22:00,40.57644964,9.215914235
6/30/2024 22:15,40.76,9.257603057
6/30/2024 22:30,41.30588733,9.381587557
6/30/2024 22:45,41.26537563,9.372386348
6/30/2024 23:00,40.66666667,9.236404751
6/30/2024 23:15,40.76,9.257603057
6/30/2024 23:30,40.57333333,9.215206445
6/30/2024 23:45,40.76,9.257603057
7/1/2024 0:00,41.33333333,9.387821223
7/1/2024 0:15,41.24,9.366622917
7/1/2024 0:30,40.66666667,9.236404751
7/1/2024 0:45,40.76,9.257603057
7/1/2024 1:00,41.33333333,9.387821223
7/1/2024 1:15,41.24,9.366622917
7/1/2024 1:30,40.66666667,9.236404751
7/1/2024 1:45,40.76,9.257603057
7/1/2024 2:00,40.57333333,9.215206445
7/1/2024 2:15,40.76,9.257603057
7/1/2024 2:30,41.33333333,9.387821223
7/1/2024 2:45,41.24,9.366622917
7/1/2024 3:00,40.71118531,9.246516035
7/1/2024 3:15,40.75777778,9.257098336
7/1/2024 3:30,40.57555556,9.215711167
7/1/2024 3:45,40.75777778,9.257098336
7/1/2024 4:00,41.30596153,9.38160441
7/1/2024 4:15,41.26752365,9.372874218
7/1/2024 4:30,40.64247425,9.230910055
7/1/2024 4:45,40.78434428,9.263132244
7/1/2024 5:00,40.57555556,9.215711167
7/1/2024 5:15,40.75777778,9.257098336
7/1/2024 5:30,41.33333333,9.387821223
7/1/2024 5:45,41.24222222,9.367127638
7/1/2024 6:00,40.09111111,9.105681864
7/1/2024 6:15,41.24222222,9.367127638
7/1/2024 6:30,40.09111111,9.105681864
7/1/2024 6:45,41.24222222,9.367127638
7/1/2024 7:00,40.66666667,9.236404751
7/1/2024 7:15,40.75777778,9.257098336
7/1/2024 7:30,41.33333333,9.387821223
7/1/2024 7:45,41.24222222,9.367127638
7/1/2024 8:00,40.11040252,9.110063421
7/1/2024 8:15,41.26967168,9.373362087
7/1/2024 8:30,40.06966167,9.100810168
7/1/2024 8:45,41.21700499,9.361400182
7/1/2024 9:00,40.13340753,9.115288426
7/1/2024 9:15,41.24444444,9.36763236
7/1/2024 9:30,40.66666667,9.236404751
7/1/2024 9:45,40.75555556,9.256593614
7/1/2024 10:00,39.98077279,9.080621305
7/1/2024 10:15,41.26292943,9.371830758
7/1/2024 10:30,40.09200519,9.105884933
7/1/2024 10:45,41.24444444,9.36763236
7/1/2024 11:00,40.08888889,9.105177143
7/1/2024 11:15,40,9.08498828
7/1/2024 11:30,41.33333333,9.387821223
7/1/2024 11:45,40,9.08498828
7/1/2024 12:00,40.57777778,9.216215888
7/1/2024 12:15,40.75555556,9.256593614
7/1/2024 12:30,40,9.08498828
7/1/2024 12:45,40,9.08498828
7/1/2024 13:00,40.57777778,9.216215888
7/1/2024 13:15,40.79495826,9.265542943
7/1/2024 13:30,37.07304743,8.420205034
7/1/2024 13:45,11.31886477,2.570793846
7/1/2024 14:00,0,0
7/1/2024 14:15,0,0
7/1/2024 14:30,0,0
7/1/2024 14:45,0,0
7/1/2024 15:00,0,0
7/1/2024 15:15,0,0
7/1/2024 15:30,0,0
7/1/2024 15:45,0,0
7/1/2024 16:00,0,0
7/1/2024 16:15,0,0
7/1/2024 16:30,0,0
7/1/2024 16:45,0,0
7/1/2024 17:00,0,0
7/1/2024 17:15,0,0
7/1/2024 17:30,0,0
7/1/2024 17:45,0,0
7/1/2024 18:00,0,0
7/1/2024 18:15,0,0
7/1/2024 18:30,0,0
7/1/2024 18:45,0,0
7/1/2024 19:00,0,0
7/1/2024 19:15,0,0
7/1/2024 19:30,0,0
7/1/2024 19:45,0,0
7/1/2024 20:00,0,0
7/1/2024 20:15,0,0
7/1/2024 20:30,0,0
7/1/2024 20:45,0,0
7/1/2024 21:00,0,0
7/1/2024 21:15,0,0
7/1/2024 21:30,0,0
7/1/2024 21:45,0,0
7/1/2024 22:00,0,0
7/1/2024 22:15,0,0
7/1/2024 22:30,0,0
7/1/2024 22:45,0,0
7/1/2024 23:00,0,0
7/1/2024 23:15,0,0
7/1/2024 23:30,0,0
7/1/2024 23:45,0,0
7/2/2024 0:00,0,0
7/2/2024 0:15,0,0
7/2/2024 0:30,0,0
7/2/2024 0:45,0,0
7/2/2024 1:00,0,0
7/2/2024 1:15,0,0
7/2/2024 1:30,0,0
7/2/2024 1:45,0,0
7/2/2024 2:00,0,0
7/2/2024 2:15,0,0
7/2/2024 2:30,0,0
7/2/2024 2:45,0,0
7/2/2024 3:00,0,0
7/2/2024 3:15,0,0
7/2/2024 3:30,0,0
7/2/2024 3:45,0,0
7/2/2024 4:00,0,0
7/2/2024 4:15,0,0
7/2/2024 4:30,0,0
7/2/2024 4:45,0,0
7/2/2024 5:00,0,0
7/2/2024 5:15,0,0
7/2/2024 5:30,0,0
7/2/2024 5:45,0,0
7/2/2024 6:00,0,0
7/2/2024 6:15,0,0
7/2/2024 6:30,0,0
7/2/2024 6:45,0,0
7/2/2024 7:00,0,0
7/2/2024 7:15,0,0
7/2/2024 7:30,0,0
7/2/2024 7:45,0,0
7/2/2024 8:00,0,0
7/2/2024 8:15,0,0
7/2/2024 8:30,0,0
7/2/2024 8:45,0,0
7/2/2024 9:00,0,0
7/2/2024 9:15,0,0
7/2/2024 9:30,0,0
7/2/2024 9:45,0,0
7/2/2024 10:00,0,0
7/2/2024 10:15,0,0
7/2/2024 10:30,0,0
7/2/2024 10:45,0,0
7/2/2024 11:00,0,0
7/2/2024 11:15,0,0
7/2/2024 11:30,0,0
7/2/2024 11:45,0,0
7/2/2024 12:00,0,0
7/2/2024 12:15,0,0
7/2/2024 12:30,0,0
7/2/2024 12:45,0,0
7/2/2024 13:00,7.066666667,1.605014596
7/2/2024 13:15,8.933333333,2.028980716
7/2/2024 13:30,0,0
7/2/2024 13:45,0,0
7/2/2024 14:00,0,0
7/2/2024 14:15,0,0
7/2/2024 14:30,0,0
7/2/2024 14:45,0,0
7/2/2024 15:00,29.7,6.745603798
7/2/2024 15:15,42.04409572,9.54925292
7/2/2024 15:30,42.00264886,9.539839315
7/2/2024 15:45,42,9.539237694
7/2/2024 16:00,42.59111111,9.673493632
7/2/2024 16:15,42.74222222,9.707814699
7/2/2024 16:30,42,9.539237694
7/2/2024 16:45,41.95605103,9.529255796
